stop_id,stop_name,stop_lat,stop_lon,stop_desc
SRIVI_BS,Srivilliputtur Bus Stand,9.5125,77.6331,Main city bus stand
SRIVI_RS,Srivilliputtur Railway Station,9.5093,77.6360,Railway station stop
SRIVI_THERMAL,Thenkasi Road Junction,9.5067,77.6278,Thenkasi road junction stop
SRIVI_OLDBUS,Old Bus Stand Stop,9.5159,77.6395,Old bus stand area
SRIVI_GH,Govt Hospital Stop,9.5139,77.6372,Govt. hospital front stop
SRIVI_KATCHERI,Collectorate Road Stop,9.5172,77.6304,Collectorate road side stop
SRIVI_TOWN,Main Bazaar Stop,9.5111,77.6315,Main bazaar stop
SRIVI_DEVASTHANAM,Andal Temple Stop,9.5129,77.6291,Andal temple vicinity
SRIVI_NH744_1,NH744 Bypass Stop 1,9.5203,77.6416,NH744 bypass corridor stop
SRIVI_NH744_2,NH744 Bypass Stop 2,9.5264,77.6452,NH744 bypass corridor stop
MDR_PERIYAR2,Periyar Bus Stand (Alt),9.9196,78.1193,Alternate Periyar mapping
MDR_ARAP2,Arappalayam Bus Stand (Alt),9.9117,78.1033,Alternate Arappalayam mapping
MDR_GORIP2,Goripalayam (Alt),9.9311,78.1252,Alternate Goripalayam mapping
MDR_PALANG2,Palanganatham (Alt),9.9008,78.1173,Alternate Palanganatham mapping
MDR_MATTU2,Mattuthavani MIBT (Alt),9.9506,78.1660,Alternate Mattuthavani mapping
MDR_TPKM,Thiruparankundram Temple Stop,9.8823,78.0733,Temple area alt stop
MDR_TALLAK,K.K. Nagar Tallakulam,9.9397,78.1358,KK Nagar–Tallakulam corridor stop
AVANI_BS,Avaniyapuram Bus Stand (Local),9.8855,78.1145,Local Avaniyapuram stand
AVANI_RAJAJI,Rajaji Park Stop (Avaniyapuram),9.8891,78.1184,Rajaji park front stop
AVANI_MAIN,Avaniyapuram Main Road Stop,9.8880,78.1120,Main road corridor stop
AVANI_CHECK,Avaniyapuram Check Post,9.8822,78.1101,Check post junction stop
AVANI_TPKM_RD,TPK Main Road Junction,9.8927,78.1077,TPK main road cross
AVANI_STADIUM,Avaniyapuram Stadium Stop,9.8871,78.1209,Stadium area stop
AVANI_MUTHU,Muthuramalinga Thevar Statue,9.8837,78.1168,Statue circle stop
AVANI_PUDUR,Pudur Road Junction,9.8795,78.1119,Pudur road crossing
MDR_PONNAG,Ponmeni Stop,9.9001,78.1062,Ponmeni area stop
MDR_THIRUNAGAR2,Thirunagar Stop (Alt),9.8936,78.0948,Thirunagar corridor stop
MDR_ELLIS,Ellis Nagar Stop,9.9118,78.1115,Ellis Nagar locality stop
MDR_SOUTHGATE,South Gate Stop,9.9144,78.1209,South gate into city
MDR_ANNA_BUS,Anna Bus Stand Vicinity,9.9226,78.1200,Anna bus stand surroundings
NH44_MDU_1,NH44 Corridor Stop 1,9.8600,78.0200,Highway corridor stop
NH44_MDU_2,NH44 Corridor Stop 2,9.8000,77.9500,Highway corridor stop
NH44_MDU_3,NH44 Corridor Stop 3,9.7200,77.8800,Highway corridor stop
NH44_MDU_4,NH44 Corridor Stop 4,9.6500,77.8200,Highway corridor stop
VRD_NEW_BS,Virudhunagar New Bus Stand,9.5875,77.9575,New city bus stand
VRD_OLD_BS,Virudhunagar Old Bus Stand,9.5855,77.9550,Old town bus stand
VRD_RAIL,Virudhunagar Railway Station,9.5845,77.9620,Railway station front
VRD_COLLECTOR,Virudhunagar Collector Office Stop,9.5890,77.9590,Collector office nearby stop
VRD_COL_RD1,Collectorate Road East Stop,9.5898,77.9610,Collectorate road east side
VRD_COL_RD2,Collectorate Road West Stop,9.5882,77.9565,Collectorate road west side
VRD_GH,Virudhunagar Govt Hospital Stop,9.5865,77.9605,Govt hospital vicinity
VRD_TOWN,Virudhunagar Town Bus Stop,9.5888,77.9542,Town center bus stop
VRD_BYPASS_NH,Virudhunagar NH Bypass Stop,9.5925,77.9490,NH bypass corridor stop
TRY_CBS,Trichy Central Bus Stand,10.7905,78.7047,Central bus stand
TRY_CHATHRAM,Chathiram Bus Stand,10.8130,78.6960,Chathiram stand area
TRY_JN,Railway Junction (Tiruchirappalli Jn),10.7949,78.6828,Main junction railway station
TRY_COLLECTOR,Trichy Collector Office Stop,10.8045,78.6875,Collector office nearby stop
TRY_COL_RD1,Collector Office Road Stop North,10.8060,78.6885,Collector road north side
TRY_COL_RD2,Collector Office Road Stop South,10.8030,78.6865,Collector road south side
TRY_CANTON,Cantonment Bus Stop,10.8000,78.6900,Cantonment area stop
TRY_TOWNHALL,Trichy Town Hall Stop,10.8040,78.6895,Town hall surroundings
TRY_THILLAINAGAR,Thillai Nagar Main Stop,10.8090,78.6890,Thillai Nagar main road stop
TRY_AIRPORT_RD,Trichy Airport Road Stop,10.7670,78.7090,Airport road corridor stop
